company_permalink,company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,investor_permalink,investor_name,investor_category_code,investor_country_code,investor_state_code,investor_region,investor_city,funding_round_type,funded_at,funded_month,funded_quarter,funded_year,raised_amount_usd,id
"/company/adfreeq",adFreeq,advertising,USA,MO,Saint Louis,Columbia,/company/arch-grants,Arch Grants,finance,USA,MO,Saint Louis,St. Louis,other,5/14/13,2013-05,2013-Q2,2013.0,50000.0,383
"/company/whengone",aevi,web,ISL,,Reykjavik,Reykjav�k,/company/arion-banki,Arion Banki,,,,unknown,,angel,8/20/13,2013-08,2013-Q3,2013.0,160000.0,410
"/company/authorgen",authorGEN,software,USA,,United States - Other,,/company/educomp-solutions,Educomp Solutions,software,IND,,Gurgaon,Gurgaon,series-a,9/10/07,2007-09,2007-Q3,2007.0,8700000.0,1596
"/company/apta-me",apta.me,ecommerce,HKG,,Hong Kong,Hong Kong,/company/gurnard-perch-sophisticated-technologies,Gurnard Perch Sophisticated  Technologies,web,RUS,,Novosibirsk,Novosibirsk,angel,8/8/11,2011-08,2011-Q3,2011.0,40000.0,2193
"/company/appssavvy",appssavvy,advertising,USA,NY,New York,New York,/company/newyorktimes,New York Times,news,USA,NY,New York,New York,series-a,10/7/08,2008-10,2008-Q4,2008.0,3100000.0,3464
"/company/anydoor",anydooR,web,JPN,,Tokyo,Tokyo,/company/samurai-incubate,Samurai Incubate,finance,JPN,,Tokyo,Tokyo,angel,3/30/10,2010-03,2010-Q1,2010.0,80000.0,4265
"/company/atokore",atokore,web,JPN,,Japan - Other,,/company/samurai-incubate,Samurai Incubate,finance,JPN,,Tokyo,Tokyo,angel,11/14/11,2011-11,2011-Q4,2011.0,58438.0,4282
"/company/anydoor",anydooR,web,JPN,,Tokyo,Tokyo,/company/skylight-consulting,Skylight Consulting,,,,unknown,,angel,12/12/11,2011-12,2011-Q4,2011.0,400000.0,4527
"/company/egoarchive",archify,search,AUT,,Vienna,Vienna,/company/startupbootcamp,Startupbootcamp,other,DNK,,DNK,Copenhagen,angel,9/5/11,2011-09,2011-Q3,2011.0,21189.0,4800
"/company/aiotv-inc",aioTV Inc.,news,USA,CO,Denver,Greenwood Village,/company/utstarcom,UTStarcom,other,USA,CA,SF Bay,Oakland,series-b,11/19/12,2012-11,2012-Q4,2012.0,8000000.0,5680
"/company/abaxx-technology",abaXX Technology,software,DEU,,Stuttgart,Stuttgart,/financial-organization/3i-deutschland-gesellschaft-fr-industriebeteiligungen,3i Deutschland Gesellschaft f�r Industriebeteiligungen,,,,unknown,,series-c+,3/9/06,2006-03,2006-Q1,2006.0,4540000.0,6678
"/company/agmi-systems",ag��mi Systems,hardware,USA,CA,SF Bay,Sunnyvale,/financial-organization/advanced-equities,Advanced Equities,,USA,IL,Chicago,Chicago,series-c+,11/21/07,2007-11,2007-Q4,2007.0,5.0E7,8523
"/company/agencyq",agencyQ,advertising,USA,WA,Washington DC,Washington,/financial-organization/advantage-capital-partners,Advantage Capital Partners,,USA,AL,Huntsville,Huntsville,venture,9/7/11,2011-09,2011-Q3,2011.0,1600000.0,8695
"/company/appattach",appAttach,,USA,WA,Seattle,Kirkland,/financial-organization/alliance-of-angels,Alliance of Angels,,USA,WA,Seattle,Seattle,venture,10/25/13,2013-10,2013-Q4,2013.0,1093469.0,9228
